0,1804289383,b
1,846930886,b
2,1681692777,b
3,1714636915,b
4,1957747793,b
5,424238335,b
6,719885386,b
7,1649760492,b
8,596516649,b
9,1189641421,b
10,1025202362,b
11,1350490027,b
12,783368690,b
13,1102520059,b
14,2044897763,b
15,1967513926,b
16,1365180540,b
17,1540383426,b
18,304089172,b
19,1303455736,b
20,35005211,b
21,521595368,b
22,294702567,b
23,1726956429,b
24,336465782,b
25,861021530,b
26,278722862,b
27,233665123,b
28,2145174067,b
29,468703135,b
30,1101513929,b
31,1801979802,r
32,1315634022,b
33,635723058,b
34,1369133069,b
35,1125898167,r
36,1059961393,b
37,2089018456,b
38,628175011,b
39,1656478042,b
40,1131176229,b
41,1653377373,b
42,859484421,b
43,1914544919,r
44,608413784,b
45,756898537,b
46,1734575198,b
47,1973594324,r
48,149798315,b
49,2038664370,r
